ProductUID,NomeProduto,Loja,Preco,Moeda,PrecoUnidade,Unidade,IsPromo,ValidadeDe,ValidadeAte,SourceURL,FetchedAt
vin-blanc-valgrande,Vin blanc Valgrande,ALDI,7.49,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
melange-de-noix-grillees,Mélange de noix grillées,ALDI,3.29,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
grana-padano-en-bloc,Grana Padano en bloc,ALDI,3.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
huile-de-friture-premium,Huile de friture premium,ALDI,5.49,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
beurre-de-cacahuetes,Beurre de cacahuètes,ALDI,2.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
boisson-proteinee,Boisson protéinée,ALDI,1.59,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
crunchies-poulet-dinde-10-pcs,"Crunchies poulet-dinde, 10 pcs",ALDI,5.59,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
eau-minerale,Eau minérale,ALDI,2.89,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-portugais.html,2025-09-13T06:32:06.996065Z
fromage-frais-maigre-belge,Fromage frais maigre belge,ALDI,0.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
guacamole,Guacamole,ALDI,2.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
minibarres-de-chocolat-350-g,"Minibarres de chocolat, 350 g",ALDI,2.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
mozzarella-rapee,Mozzarella râpée,ALDI,2.39,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
yaourt-nature-a-la-grecque-10,Yaourt nature à la grecque 10 %,ALDI,1.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
couches-maxi-4-80-pcs,"Couches maxi 4, 80 pcs",ALDI,9.59,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
essuie-tout-3-epaisseurs-pack-de-4-64-feuilles,"Essuie-tout, 3 épaisseurs, pack de 4, 64 feuilles",ALDI,2.89,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
essuie-tout-maxi-pack-de-4,"Essuie-tout maxi, pack de 4",ALDI,2.59,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
parfum-de-linge-en-perles,Parfum de linge en perles,ALDI,2.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
elbling-aop,Elbling AOP,ALDI,4.15,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
auxerrois-aop,Auxerrois AOP,ALDI,4.85,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
pinot-gris-aop,Pinot gris AOP,ALDI,6.39,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
