UID,EAN,Nome,Marca,Rayon,SousRayon,Tamanho,Imagem,Fonte,ScoreInicial
3560070614202,3560070614202,Oat flakes,Carrefour,Épicerie salée,Gama,500 g,https://images.openfoodfacts.org/images/products/356/007/061/4202/front_en.112.400.jpg,OFF,10.22
3760020508012,3760020508012,Tartines craquantes Sarrasin,JARDIN BIO ETIC,Bio,Gama,150 g,https://images.openfoodfacts.org/images/products/376/002/050/8012/front_fr.187.400.jpg,OFF,10.215
8013355999143,8013355999143,Gocciole classiche pav 500 gr,Pavesi,Épicerie salée,Gama,500 g,https://images.openfoodfacts.org/images/products/801/335/599/9143/front_en.116.400.jpg,OFF,10.263
0898999000503,0898999000503,Coconut Water The Original,Vita Coco,Épicerie salée,Gama,1 l,https://images.openfoodfacts.org/images/products/089/899/900/0503/front_en.163.400.jpg,OFF,10.22
20621483,20621483,Bran Flakes,Crownfield,Épicerie salée,Gama,500 g,https://images.openfoodfacts.org/images/products/000/002/062/1483/front_en.206.400.jpg,OFF,10.236
3700214611548,3700214611548,Noir equitable 85% Pérou,Alter Eco,Épicerie salée,Gama,100 g e,https://images.openfoodfacts.org/images/products/370/021/461/1548/front_fr.129.400.jpg,OFF,10.242
50184385,50184385,marmite,Marmite,Épicerie salée,Gama,125 g ℮,https://images.openfoodfacts.org/images/products/000/005/018/4385/front_en.82.400.jpg,OFF,10.273
80042563,80042563,famila Mutti Solo Pomodoro Parma Passierte italienische Tomaten 700g 1.99€ 1kg 2.84€,MUTTI,Fruits & Légumes,Gama,700 gram,https://images.openfoodfacts.org/images/products/000/008/004/2563/front_fr.103.400.jpg,OFF,10.226
5449000131843,5449000131843,Coca-Cola Zero,Coke,Boissons,Gama,2L,https://images.openfoodfacts.org/images/products/544/900/013/1843/front_en.215.400.jpg,OFF,10.209
3124480184344,3124480184344,Orangina,Orangina,Épicerie salée,Gama,33 cl e,https://images.openfoodfacts.org/images/products/312/448/018/4344/front_en.104.400.jpg,OFF,10.182
3451790988813,3451790988813,Le Beurre Tendre Demi-Sel Barquette,Elle & Vire,Épicerie salée,Gama,250 g,https://images.openfoodfacts.org/images/products/345/179/098/8813/front_en.122.400.jpg,OFF,10.22
5053990161966,5053990161966,Pringles Texas BBQ 165g ajman,Pringles,Épicerie salée,Gama,165g,https://images.openfoodfacts.org/images/products/505/399/016/1966/front_en.64.400.jpg,OFF,10.226
8000500037560,8000500037560,Kinder Bueno,Kinder,Épicerie salée,Gama,43g,https://images.openfoodfacts.org/images/products/800/050/003/7560/front_en.192.400.jpg,OFF,10.176
5411188110842,5411188110842,Rich and indulgent Hazelnut,Promise Gluten Free,Épicerie salée,Gama,1 l,https://images.openfoodfacts.org/images/products/541/118/811/0842/front_en.286.400.jpg,OFF,10.17
8076809513388,8076809513388,Arrabbiata,Barilla,Épicerie salée,Gama,400 g,https://images.openfoodfacts.org/images/products/807/680/951/3388/front_en.191.400.jpg,OFF,10.159
5000112611878,5000112611878,PET 1.75L COCA COLA® ZÈRO,Coca-Cola®,Boissons,Gama,"1,75 L e",https://images.openfoodfacts.org/images/products/500/011/261/1878/front_fr.174.400.jpg,OFF,10.142
